size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSet,isSetNoSide,isConb,category
,エッグマックマフィン,200,311,19.2,13.5,27.1,1.7,400,,250,main
,ベーコンエッグマックサンド,200,299,15.9,13.2,28.1,1.2,400,,250,main
,ソーセージエッグマフィン,250,475,21.5,30.6,27.3,1.7,450,,300,main
,ソーセージマフィン,110,395,15,25.1,27.2,1.7,330,,200,main
,チキンクリスプマフィン,140,364,15.2,17.3,37,2.5,350,,200,main
,フィレオフィッシュ,340,323,14.4,13.9,35.8,2.1,510,,,main
,ホットケーキ,300,319,8,8.6,52.7,2.8,500,,,main
,マックグリドル ソーセージエッグ,300,550,20.3,33.2,42.4,1.7,500,,,main
,マックグリドル ベーコンエッグ,300,396,15.7,18.1,42.4,1.8,500,,,main
,マックグリドル ソーセージ,150,420,10.4,23.8,41.9,1.6,350,,,main
,メガマフィン,350,695,29.7,49.7,31.2,2,550,,,main
,ビッグブレックファスト,400,659,26.3,42.8,39.9,3.3,500,TRUE,,main
,ビッグブレックファスト デラックス,600,978,34.2,51.4,92.7,6.1,700,TRUE,,main
,チキンマックナゲット 5ピース,200,270,15.8,17.2,13.1,0.9,50,,,side
,チキンマックナゲット 15ピース,580,810,47.3,51.6,39.2,2.6,,,,side
,サイドサラダ,280,10,0.5,0.1,2.3,0.8,50,,,side
,スイートコーン,230,58,1.8,1,10.2,2,,,,side
,ハッシュポテト,130,145,1.3,9.7,13,1.6,0,,,side
,ホットアップルパイ,100,211,1.9,10.7,26.8,1,0,,,dessert
,プチパンケーキ,200,161,3.8,4.4,26.4,1.3,,,,dessert
S,コカ・コーラ ゼロ,100,0,0,0,0,0,,,0,drink
M,コカ・コーラ ゼロ,220,0,0,0,0,0,0,,50,drink
L,コカ・コーラ ゼロ,250,0,0,0,0,0,20,,,drink
S,コカ・コーラ,100,90,0,0,22.7,0,,,0,drink
M,コカ・コーラ,220,140,0,0,35.1,0,0,,50,drink
L,コカ・コーラ,250,181,0,0,45.4,0,20,,,drink
S,スプライト,100,76,0,0,18.9,0,,,0,drink
M,スプライト,220,117,0,0,29.3,0,0,,50,drink
L,スプライト,250,151,0,0,37.8,0,20,,,drink
S,ファンタ グレープ,100,101,0,0,25.2,0,,,0,drink
M,ファンタ グレープ,220,156,0,0,39,0,0,,50,drink
L,ファンタ グレープ,250,202,0,0,50.4,0,20,,,drink
S,ファンタ メロン,100,101,0,0,25.2,0,,,0,drink
M,ファンタ メロン,220,156,0,0,39,0,0,,50,drink
L,ファンタ メロン,250,202,0,0,50.4,0,20,,,drink
S,Qoo すっきり白ブドウ,100,94,0.2,0.2,22.9,0,,,0,drink
M,Qoo すっきり白ブドウ,220,146,0.3,0.3,35.4,0,0,,50,drink
L,Qoo すっきり白ブドウ,250,189,0.4,0.4,45.8,0,20,,,drink
S,爽健美茶,100,0,0,0,0,0,,,0,drink
M,爽健美茶,220,0,0,0,0,0,0,,50,drink
L,爽健美茶,250,0,0,0,0,0,20,,,drink
S,アールグレイ アイスティー,100,2,0,0,0,0,,,0,drink
M,アールグレイ アイスティー,220,3,0,0,0,0,0,,50,drink
L,アールグレイ アイスティー,250,3,0,0,0,0,20,,,drink
S,ホットティー,100,2,0.2,0,0.2,0,,,0,drink
M,ホットティー,220,3,0.3,0,0.3,0,20,,50,drink
S,野菜生活100,150,77,0.8,0.1,18.2,0.4,,,0,drink
M,野菜生活100,240,119,1.2,0.2,28.1,0.7,0,,50,drink
L,野菜生活100,270,156,1.6,0.3,36.7,0.9,20,,,drink
S,ミニッツメイド オレンジ,150,94,1.5,0.2,21.8,0.4,,,0,drink
M,ミニッツメイド オレンジ,240,146,2.3,0.3,33.8,0.7,0,,50,drink
L,ミニッツメイド オレンジ,270,189,2.9,0.4,43.7,0.8,20,,,drink
,ミニッツメイド アップル100,130,96,0,0,23.8,0,0,,50,drink
,ミルク,190,138,6.8,7.8,9.9,0,0,,50,drink
,サントリー黒烏龍茶#濃いめ,250,3,0,0,1,0.3,20,,70,drink
S,プレミアムローストコーヒー,100,7,0.3,0,1.2,0,,,0,drink
M,プレミアムローストコーヒー,150,12,0.6,0,2.1,0,0,,50,drink
S,カフェラテ,150,85,4.2,4.8,6.3,0,0,,50,drink
M,カフェラテ,200,119,5.9,6.7,8.8,0,20,,,drink
S,キャラメルラテ,210,136,4.3,4.8,18.7,0,40,,90,drink
M,キャラメルラテ,260,170,6,6.7,21.2,0,60,,,drink
S,プレミアムローストアイスコーヒー,100,6,0.3,0,1,0,,,0,drink
M,プレミアムローストアイスコーヒー,150,9,0.5,0,1.6,0,0,,50,drink
L,プレミアムローストアイスコーヒー,210,12,0.6,0,2.1,0,20,,,drink
S,アイスカフェラテ,150,73,3.6,4,5.4,0,0,,50,drink
M,アイスカフェラテ,200,103,5.1,5.7,7.6,0,20,,,drink
S,アイスキャラメルラテ,210,136,4.3,4.8,18.7,0,40,,90,drink
M,アイスキャラメルラテ,260,170,6,6.7,21.2,0,60,,,drink